question_set	stu_answer	score_1	score_2	final_score
25	የቀውስ አጋጣሚዎችን መቀነስ ቀውሱን በተቻለ ፍጥነት መቆጣጠር በቀውሱ የተጎዳ ድርጅት  ተቋም  መልሶ መገንባት	3	3	3
25	ቀውሱን በፍጥነት ማስቆም በቀውሱ የደራሱ ችግሮችን በፍጥነት መቀነስ የመንግስት ወይም የድርጅቱን ተአማኒት መልሶ መገንባት	3	3	3
25	ህግ አስከባሪው ደንበኞቹን እድረጋጉ ማድረግ አመራሮቹ ቀውስን ለማረጋጋት መሞከር  ማረጋገት ቀውሱ የተነሳበትን ጉዳይ ማጣራት	2	3	3
25	ቀውሱን በፍጥነት ለማስቆም ቀውስ ያስከተለውን ችግር በአፋጣኝ መቀነስን የመንግስትነ ወይም የተቋሙን ተአማኒነት መልሶ መገንባትን	3	3	3
25	ቀውሱን በፍጥነት ማስቆም ቀውሱ እንዲፈጠር ያደርገውን ጉዳይ በፍጥነት መቀነስ ለመንግስት  ለተቋሙ ተአማኒነት እንዲኖረው መልስ መገንባት	3	3	3
25	ከፍተኛ መሆን አለበት ችግሮች ለመቅረፍ ጥረት ማድረግ	0	0	0
25	ቀውስን ማቆም ቀውሱን መቀነስ የአመራር ስራ ማስጠበቅ የማስተባበያ ስራ መስራት	3	3	3
25	ማቀድ እቅዱን መስራት ወደ ተግባር መግባት ውጤቱን ግምግሞ ለቀጣይ ስራ መዘጋጀት	0	1	1
25	ሰዎችን ማሳመን ሰዎች መንገር እና መተግባር ናቸው 	0	1	1
25	ለቀውሱ ለማርገብ መፍትሄ መፈለግ ለተፈጠረው ጉዳት አስፈላጊውን እርዳታ ማድረግ የድርጅቱን ወይም የተቋሙን ስም እና ዝና መስተባበር ማምጣት	3	3	3
25	ጥራት ያለው ጽሁፍ መላክ የዜና ፋይዳ ያለው የይዘት ፋይዳ የሌለው	0	0	0
25	የመንግስት ወይም የተቋሙ ታማኝነት ማጋገጥ ቀውስን በአፋጣኝ ማቆም ለተፈጠረው ቀውስ የህብረተሰብ ድርሻ ማስተዋወቅ	2	1	1
25	ቀውስን ማስወገድ ተጨባጭነት	1	2	1
25	ቀውሱን ማቆም ቀውሱን የምያስከትለውን ምክንያት መቀነስ የመንግስት ወይም ለተቋሙ እንደገና	3	3	3
25	ሚዲያን በተመለከተ የህዝብ ግንኙተን ሚያን ሲያከብሩ የሚገቡ ነጥቦች ሲሆን  የፕሬስ ኪት ማዘጋጀት እራሱን ማስተዋወቅ ውጤት ናቸው በማለት ይታወቃል	0	0	0
25	ቀውስን በፍጥነት እንዲበርድ ማድረግ የመንግስት ወይም የታተሙ ታማኝነት መግንባት ለቀውሱ አፋጣኝ ምላሽ መስጠት መፈለግ	3	2	3
25	የማሳወቅ የማሳመን ለተግባር የማሳየት	0	1	1
25	ቀውስን በፍጥነት ማሳወቅ የቀውስን ጉዳት በአፋጣኝ መቀነስ የመንግስት ተአማኒተን መልሶ መገንገባት	3	3	3
25	ከቁጥጥር ውጪ መውጣት የተሞላ መረጃ ማግኝ መልዕክቱ እሰፋ መሄድ	0	0	0
25	ቀውሱን በፍጥነት ማስቆም ቀውሱን በፍጥነት መቀነስ ቀውሱን ተከታትል እንዲጠፍ ማድረግ	2	3	3
25	ቀውስን ማስቆም በቀውሱ ወቅት የሚታየው ችግር በፍጥነት ማስቆም የድርጅቱን ወይም የተቋሙን ተአማኒነት መልስ መገንባት	3	3	3
25	ቀውስን ማስቆም በቀውሱ ወቅት የሚታየው ችግር በፍጥነት ማስቆም የድርጅቱን ወይም የተቋሙን ተአማኒነት መልስ መገንባት	3	3	3
25	መልስ የለውም	0	0	0
25	ቀውሱን መለየት  ጥናት ማድረግ  ወደ ተግባር መግባት  መቀድ	1	1	1
25	ቀውሱን ባፋጣኝ ማስቆም  የቀውሱን መንስኤ ማጣራት የተቋሙን  የድርጅቱን  ተአማኒ መልሶ መገንባት	3	2	3
25	የቀውሱ ምክንየት  መንስኤ   ቀውሱ የስከተለው ችግር  ቀውሱ በምን መልኩ ሊፈታ እደሚችል	2	2	2
25	እቅድ ማዘጋጀት እቅድ መወሰን እቅድ መወሰን	0	1	1
25	ችግሩን መለየት ቀውሱ ያስከተለው ችግሮች መለየት መክኛቱን ማወቅ ከምክኛቱ ተነስተን መብቴ መስጠት ማረጋገገት	2	2	2
25	ለቀውስ መከሰት መነሻዎችን ለመለየት መረጃዎችን በአግባቡ አለመድረስና አንዱ የቀውስ አቅጣጫ ነው  ታማኝ አለመሆን በተነሳ የተለያዩ ችግሮች ይከሰታሉ	1	2	2
25	ለግምት ቦታ አትስጥ  ቀድመህና ሁሌ ተናገር   መግለጫ ይፋ ይሁን	0	1	1
25	ቀውሱን ያስከተከለውን በፍጥነት ማስቆም ቀውሱ ያስከተለውን ጉዳይ በፍጥነት መቀነስ የመንግስት ተአማኒነትን መልስ መገንባት	3	2	3
25	ማሳወቅ  ማሳመን ለተግባር መነሳሳት	0	0	0
25	ድንገተኛ  ፍርሀት መንስኤ	0	0	0
25	ቀውሱን በአፋጣኝ ማስቆም ቀውሱን መንስኤ ማወቅ የቀውሱን መንስኤ ማወቅ ለቀውሱ መከሰት መፍትሄ መፈለግ	2	3	3
25	ቀውሱን በፍጥነት ማስቆም ቀውሱን ያስከተለውን ጉዳት በአፋጣኝ መቀነስ የመንግስት  የተቋሙን    ተዓመኒነት መልስ መገንባት ናቸው  	3	3	3
25	ማሳወቅ ማሳመን መተግበር	0	0	0
25	የቀውሱን መንስኤ ማወቅ  ችግሩን መለየት  ለችግሩ መፍትሄ መስጠት   መፈለግ  እርምጃ መውሰድ	3	2	3
25	ቀውሱን በፍጥነት ማስቆም ቀውሱ ያስከተለውን ጉዳት በአፋጣኝ መቀነስ  የመንግስት   የተቋሙን  ተኣማኒነት መልስ መገንባት	3	3	3
25	ቀውሱን በግዜ ማስቆም ቀውሱ ያስከተለውን ጉዳት በአፋጣጭ መቀነስ የመንግስት የተቋሙን እምነት መገንባት	3	3	3
25	ቀውሱን በፍጥነት ማቆም ቀውሱን ያስከተለውን ነገር  ጉዳይ   በፍጥነት ማቆም የመንግስት ወይም የተቋምን ተአማኒነት መገንባት	3	3	3
25	ችግር መለየት መፍትሄ መፈለግ እርምጃ መውሰድ	3	1	2
25	ማሳወቅ የማሳመን ለተግባር የተነሳሳ	0	0	0
25	የደረሰውን ቀውስ በአፋጣኝ ማረጋጋት በቀውሱ ወቅት የደረሰውን ጉዳት በፍጥነት መመለስ የመንግስት ታማኝነት መልሶ መገንባት	3	2	3
25	ማቀድ ማሳወቅ ማሳመን	0	0	0
25	ከሚድያ ጋር ጦርነት አለመክፈት ተቀባይነት እንጂ ግልጸኝነት ተቆርቋሪነትን አለማሳየት	0	0	0
25	ቀድመህ ተናገር ከሚድያ ጋር ጦርነት አትክፈት በግምገማው ቦታ ስለሚሰጥ	0	0	0
25	በቀውሱ ለተመታ ማህበረሰብ ቀውሱ ያስከተለውን ትርጉም መለየት ለቀውሱ የሚሆን መፍትፌ ማዘጋጀት   የቀውሱን መንሴ መፈለግ  ማወቅ	2	3	3
25	ቀውሱን በአፋጣኝ ማስቆም ቀውሱ የተከሰተውን ጉዳት በአፋጣኝ መቀነስ የመንግስት  ድርጅቱን ታማኝነት ማሳየት	3	3	3
25	የቀውሱን መንስኤ መለየት የመፍትሄ አማራጭነት መውሰድ የማናጅመንት እርምጃ መውሰድ	3	2	3
25	ጥናትና ምርምር በምርምሩ መሰረት ስራውን መፈፀም የተሰሩትን ስራዎች መገምገም	0	1	1
25	የማሳወቅ የማሳመን  ለተግባር መነሳሳት	0	0	0
25	ነፃ መሆን ሀቀኝነት ታማኝነት	0	0	0
25	ቀውሱን በአፋጣኝ ማስቆም ቀውሱን ያስከተለውን ችግር መለየትየቀውሱን መንስኤ ማወቅ	2	1	2
25	የቀውስሱን አጋጣሚነትበፍጥነት ማስቆም የቀውሱን አጋጣሚ መቀነስየድርጅቱን ጣማኒነት ወደ ነበረው መመለስ	3	3	3
25	ቀውሱን በፍጥነት  ማስቆም ቀውሱን ያስከተለውን ጉዳት በአፋጣኝ መቀነስ	3	2	3
25	ማዳመጥ ማግባባት ምለሽ መስጠት	0	0	0
25	ድንገተኝነት የተሟላ  መረጃ አለማግኘት የቀውስ ማባባስ ማጋጠሙ	0	0	0
25	ቀውሱን በአፋጣኝ ማስቆም ቀውሱን ያስከተለውን ጉዳት በአፋጣኝ መቀነስ የመንግስት ወይም የተቋሙን ተአማኒነት መልስ መገንባት	3	3	3
25	ማቀድ ማሳመን መፈፀም  አለባቸው	0	0	0
25	የቀውሱን በፍጥነት ማስቆም መቻልቀውሱን በፍጥነት ማስቆም መቻል  ድርጅቱን  ተቋሙን  በታማኝነት መልሶ መገንባት	3	3	3
25	ቀውሱን በፍጥነት ማስቆም ቀውሱን የፈጠረውን ጉዳይ በፍጥነት መቀነስ ቀውሱ እንዳይባባስ ማድረግ	2	1	2
26	መረጃ መለህከት  ማስተላለፍ እውቅና ይሰታል ማ ብ ይከብራል ችግሮችን በፍጥነት ለህዝብ ለማስተላለፍ	3	4	4
26	ሚዲያ ለህዝብ ግንኙነት ስራ ያለው ጠቀሜታ ሚዲያዎችን የሚድያ ውጤቶችን በመጠቀም የዜና ፕሬስ   መልዕክቶችን በፍጥነትና በስፋት ለተደራሹ ለማድረስ ይጠቅማል	4	4	4
26	ሚዲያ ለህግ ስራ ዋንኛ መሳሪያ ነው የህግ ሰራተኛ ስራውን የፃፈውን ፅሁፍ በሚድያ አማከኝነት ነው ወደ ህዝቡ ለማድረስ የሚችለው ህዝብን በየቀኑ ስብሰባ መጥራት አይቻል  ነገር ግን በሚድያ አማከኝነት የህ ግ ሰራተኛው በርካታ ስራዎቸወን በየቀኑ መስተላለፍ ይቻላል	2	1	3
26	በሚዲያ በህዝብ የሚሰጡ አገልግሎት በጣም አስፈላጊ ነው እደማንኛውም የራሱን ሀሳብ ወይም ችግር መገለጽ ስለምችል እያንዳንዱ ሰው በጣም ማወቅና ሚዲያ ጥቅም ከሚዲያ ጋር የህዝብ ግንኙነት ሙያ ከተለያዩ መረጃዎች በቀላሉ ማወቅ ምንችለው ነገር በሆኑ ብዙን ጊዜ ሚድያ አገልግሎት በጣም ሰፊ ተነግሮ የማያልቅ በመሆኑ ሰዎች የራሳቸውን ሀሳብ በሚድያ ያልገለፁ ስለሚችሉ ያጋናል	2	3	3
26	ሚዲያ ለህዝብ ግንኙነት ሙያ እጅግ የጎላ ጠቀሜታ አለው  ጠቀሜታውም በህዝብ ግንኙነት ሙያ ውስጥ ያሉ መረጃዎ  የተገኙ ጠቃሚ የሆኑና ለተደራሽ አስፈላጊ የሆኑ ነገሮ በሙሉ ለተደራሹ የሚደርሱት ሚዲያን በመጠቀም ነው  ስለሆነም ሚዲያ ለህዝብ ግንኙነት ሙያ አስፈለጊና ጠቃሚ ነው 	3	3	3
26	መልክት ለማስተላለፍ  በተደራሹ የሚነሱና የተቋሙን ድርጅቱን የተቋሙን ምርት ለማስተዋወቅን በአጭር ጊዜ ውስጥ የተቋሙንና የህዝቡን ማዕከል ያደረጉ ስራዎችን ለማስተላለፍ የጠቋሙን  ድርጅቱን ምርት ለማስተዋወቅ	3	2	3
26	የተለያዩ መረጃዎን ለማስተላለፍ ይረዳል ይህ ሲባል ህብረተሰቡን ወይም አድማጭን ሁልጊዜ በስብሰባ ለማግኘት አስቸጋሪ ነው በሚድያ ግን የተለያዩ መረጃዎን ማስተላለፍ ይቻላል ለምሣሌ በጎርፍ አደጋ የተፈናቀሉትን በሚድያ አሣውቆ የተለያየ እርዳታ ይደረግላቸዋል የጠለያዩ የልማት ስራዎችና ወዘተ ማስተላለፍ ይቻላል 	3	4	4
26	ሚዲያ ለህዝብ ግንኙነት ስራ በጣም አስፈላጊውና ወሳኙ ነው የህግ ተግባሩን የሚፈፅመው በሚዲያ ማለትም በዜናና በፕሬስ ነው የህዝብ ግንኙነት ተግባሩን ሚዲያን በመጠቀም የተቋሙን መልካም ገጽታ ስራ ለመሕበረሰቡ ያስተላልፋል ከማሕበረሰቡ የሚያገገኘው  ለተቋሙ ያቀርባል	3	3	3
26	ሚድያ ለህዝብ ግንኙነት ሙያ ሥራ ያለውን ስንመለከት በመጀመሪያ መልዕክት  ለማህበረሰብ በማቅረብ ሲሆን በተጨማሪም ማህበረሰብ ሁሉም ስብሰባ ስለጠራ ሁሉም በያለበት ሥፍራ መረጃዎን ይደርሳል በተጨማሪም ማንኛውም ሣ ስ አስፈላጊና ወሣኝ መገሮችን ለህብረተሰብ ለማስተላለፍ በፈጠረ ህጉጉና ደንቡን ተከትሎ ሚድያን  በመጠቀም ሀሣቡን ማድረስ ይችላል  ሚድያ ይህንን የመሣሠሉና ሌሎች በርካታ ጠቀሜታዎች በዚህ ግንኙነት ሥራ ያበረክታል	3	2	3
26	የህዝብ ግንኙነት ባለሙያ ከሚጠቀምባቸው መሳሪያዎ ዋነኛ ሚዲያ ነው  በሚዲያ አማካኝነት ሰውን ለተደራሹ ያማያሰማበትና  የማያስተዋውቅበት ዋነኛው መንገድ ነው  የህዝብ ግንኙነት ባለሙያ ስራውን ለተደራሹ የማያደርሰው የሚዲያውን አገልግሎት ተግን አድርጎ መልክቱን ለተደራሹ ያበስርበታል 	2	2	2
26	ሚዲያ ለህዝብ ግንኙነት ያው ጠቀሜታ የህዝብ ግንኙነት ሙያተኛ የሚያከናውናቸውን ማኛውም ተግባራት ለተደራሹ ማ ሰብ የሚያደርሰው ሚዲያ ተጠቅሞ ነው የሚራቸው ስራዎ ያለ ሚዲያ ጠቀሜታ የላቸውም ማስተላለፊያ መሳሪያ ነው	3	2	3
26	ሚዲያ ለህዝብ ግንኙነት ሥራ ያለው ጠቀሜታ  የህዝብ ግንኙነት ባለሙያ ከመ ሰቡ ያገኘውን መረጃ በአፋጣኝ በልኩ ለሁሉም በተመሳሳይ ሠዓት የመ ሰቡ ክፍል ያደርሳል  እንደዚሁም ለወደ ፊት የሚከሰቱትን ክስተቶች ሁሉም የመ ሳቡ ክፍለ ቅድመ ዝግጅት እንዲያደርጉና እንዲጠናቀቁ ያደርጋል 	3	4	4
26	ሚዲያ ለህዝብ ግንኙነት ሙያ ከፍተኛ አስተዋጽኦ ያበረክታል  የህዝብ ግንኙነት ስራ የቆመለትን ድርጅት ተቋም ለማህበረሰቡ ማስተዋወቅና ተአማንነትንና ውጤታማነትን ማትረፍ ሲሆን ይህንን ማድረግ የሚችለው በሚዲያ አማካኝነት ነው ሚዲያ የህዝብገንኙነት ስራ ማስታወቂያ በማስተላለፍ ይረዳል  ስለ ድርጅቱ ስለተቋሙ የህዝብ ግንኙነት ባለሙያ የላከውን የተለያዩ መግለጫዎ ያስተላልፋል  በአጠቃላይ ሚዲያ ለህዝብ ግንኙነት ስራ በተደራሹ ዘንድ መድረስ ያለባቸውን መልዕክት በሰፊው ያደርሳል 	4	4	4
26	ጋዜጠኛ ምንጊዜም ራፖርት ማድረግን እንደማይተው መገንዘብ ጋዜጠኛን ለመደለል አለመሞከር  አለመከጀል ከጋዜጠኞች ጋር በሚኖርህ ሽ ግንኙነት ተጠራጣሪ መሆን ዜናብ የሚዘንብበት ስምምነት ይኖራል ብለህ ሽ ማሰብ አለበት	0	1	1
26	ሚዲያ ለህዝብ ግንኙነት ያለው ጠቀሜ ባለሙያው የአዘጋጀውን የተለያዩ ዝግጅቶች ለህዝብ የሚያቀርብበት እና እራሱን የሚገመግምበት አንድ መንገድ ነው  የህዝብ ግንኙነት ባለሙያ ሚዲያን በመጠቀም ነው መልዕክቱን የሚያስተላልፈው በሚዲያም የሚቀርበው የህዝብ ግንኙነት ባለሙያው ያዘጋጀ የተለያዩ መልዕክቶችን ነው  ሚዲያ ያለ ህዝብ ግንኙነት ህዝብ ግንኙነት ያለሚዲያ ሕይወት የላቸውም 	3	3	3
26	መልክትን በሚዲያ ለተደራሾች ማስተላለፍ ከተደራሾች አሰተያየት በሚዲያ መቀበል ለተደራሾች ግብር መልስ በሚዲያ ማስተላለፍ	3	2	3
26	መልዕክት በትክክል ለህብረተሰቡ ጆሮ መድረሱን የህዝብ ግንኙነት ባለሙያ ሚዲያው እንዲተላለፍ የፈለገውን መረጃ በአግባቡ የተቀረፀና በተለይ አዘጋጀፐቹን ቀልብ የሚብ መሆን ይገባዋል ይጠቀሜታው የጎላ ይሆናል የህዝብ ግንኙነት ሙያተኛ ከሚዲያ ጋር የሚኖረው ግንኙነት ሁሌም በአካ ወይም በግንባር መሆን አለበት ይህ ሲሆን ነው ትክክለኛና ጠቀሜታ ያለው  የሚኖረው 	4	4	4
26	ሚዲያ ለሕዝብ ግንኙነት ሙያ ስራ ያለው ጠቀሜታ ወቅታዊና ትኩስ ጉዳዮች ነገሮችን በሚዲያ አማካይነት ለሕዝብ ለማድረስ ያገለግላል የሕዝብ ግንኙነት ብዙ መሳሪያዎ አሉት ከነዚያ መሳሪያዎ ሚዲያ ዋነኛ ተመራጭ መሳሪያ ነው 	2	3	3
26	መረጃዎ ለሕዝቡ እንዲተላለፉ ያግዛል አዲና ወቅታዊ የሆኑ ዜናሆች በጊዜ በሚዲያ አማካኝነት ለሕዝቡ እንዲ ደርስ ያደርጋል  ዓለም ላይ ምን አዲ ነገር አለ የሚለውን ነገር ህ ስቡ ሳያስብ መቼ ምን እንደሆነና እንዴት ሲሆን እንደቻለ ከሚድያው ይሰማሉ 	4	3	4
26	በተደራሹና በተቋሙ መካከል መልዕክት ማስተላለፍ ትኩስ  ወቅታዊ የሖኑ መረጃዎን በሚዲያ አማካኝነት ለተደራሹ ማህበረሰብ ማወቅ የሚፈልገውን መልዕክት ለመስተላለፍና ከተደራሹ የሚሰጡት አስተያየቶች ለመቀበል ይረዳል 	3	3	3
26	ሚዲያ በሁለት ይከፈላል  የህትመት  የኤሌክትሮኒክስ በአጠቃላይ ሚዲያ ለህዝብ ግንኙነት ሠራተኛውና ለተቋሙ የሀሳብ የመልዕክት ማስተላለፊያ ድልድየወ ነው   መሳሪያ ነው የተለያዩ ችግሮ ቢፈጠሩ እንኳን ችግሩ እየተባባሠ ሳይሄድ በሚዲያ በማሠራጨት መልዕክቱን ላልሠሙ ማህበረሰቦች ለቅድመ ጥንቃቄና ለመፍትሄ ሀሳብ ለመዘጋጀት ይረዳል 	3	4	4
26	ግዜ ገደብ ያለው  ሊዳረስበት የሚችል  ተጨባጭነት ያለው	0	0	0
26	ለህዝብ ግንኙነት ትኩረትና መርጃ እዲሰጥና ነው ጠቀሜታው የተለያዩ ስነ ምግባር እና ተግባራዎች ጠንቅቆ እዲያውቅ ይረዳዋል	2	3	3
26	የሚያስተላልፉት ሐሳብ ከሚዲያዎ አንዳንድ ዜናዎን ካዳመጡ በኋላ ለርሳቸው ዜና ማስተላለፊያ መንገድ ይሆናቸዋል  ሚዲያው ለህዝብ ግንኙነቱ አንዳንድ ሐሳብ ማስተላለፍ የህዝብ ግንኙነቱ ሚዲያውን በማሞገስ አብዛኛውን ጊዜ በሚሰራላቸው ህዝብ መሰረት	2	2	2
26	ለህዝቡ ግንኙነት ተግባቦት እንዲደረግ ያደርጋል ለህዝቡ ግንኙነት ሥራን እንድቀላጠፍ ያደርጋል ለጉስና ለድርጅቱ እንወገን ያደርጋል	2	3	3
26	ሚድያ ለህዝብ ግንኙነት በጣም ጠቃሚና አስፈላጊም ነው  ህዝብ ያለሚድያ ሚድያ ያለ ህዝብ ትርጉም የለውም ስለዚህ	2	1	2
26	መረጃን በተከታታይ ማስተላለፍ የጠቀበለውን መረጃ በትክክል ማስተላለፍ ጥናትና ምርምር ማካሄድ በሚታሰበው አሉታዊና አዎንታዊ ተጽዕኖን	3	2	3
26	መረጃዎችን ጠናክሮ አዘጋጅተው ያቀደውን ሚዲያው በተለየዩ ኤለክትንስ አማካንነት መልዕክቱን ለህዝብ ያቀርባል ሌላ ደግሞ ሚዲያው ባይኖር ኑሮ የህዝብ ግንኑነት ለብቻ መረጃ አዘጋጅቶ ለተደራሽ ማድረስ አችልም ስለዚህ ሚዲያው ለህዝብ ግንኑነት ያለው ጠቀሜታ ብዙ በሆኑ ሁለቱ ተያያዥነት አላቸው ምከኒያቱም የህዝብ ግንኑነት ያዘጋጀውን የተለያዩ ቀልብ ስብና  በረጅየተደገፈውን  መልዕክት የሚስብ የሚያሠረጨው ሚድያ ነው	3	3	3
26	ሚዲያ ለህዝብ ገንኙነት መሸጋገሪያ ድልድይ ነው ምክኒያቱም  አቀናጅቶና አቀናብሮ ያዘጋጀውን መረጃ ለተደራሽ አካል እንዳይረሳና ለችግሮች ለአንዳንድ አስፈላጊ ጉዳዮች አፋጣኝ መልዕክትን እንዲያደርስ ያደርጋል  ሚዲያ ለተደራሹ ክፍል መልዕክቱን ያስተላልፋል 	3	4	4
26	የህዝቡን እሮሮ አውቆ መደረግ ያለበትን ነገር ህዝቡን በመጠየቅ የህዝቡን ጆሮ አንድ በአንድ ለመቅረፍ የሚደረግ የሚሰራውን ስራ ነው  እንዲሁም በተለያየ አቅጣጫ በመሄድ የህዝብን ውይይት ተረድቶ ወደ መፍትሔው በመሄድ ችግሩን የሚቀርፍ ሚዲያ ነው 	2	1	2
26	ሚዲያ ለህዝብ ግንኙነት ያለው ጠቀሜታ  ከህብረተሰቡ የተቀበለውን መረጃ ያስተላልፋል ከመንግስት የተቀበለውን መረጃ ለህብረተሰቡ እንዲያስተላልፍ ይረዳዋል   በተጨማሪም ደግሞ የህዝብ ግንኙነት ቴክኖሎጂ በሕገ ቁጥር እራሱን እንዲያሳድግ ይረዳዋል ማለት ነው  ወይም ቴክኖሎጂ ባደገ ቁጥር የህዝብ ግንኙነቱም አብሮ ያድጋል 	3	2	3
26	አንድ የሕዝብ ግንኙነት ባለሙያ በድርጅሩ  በተቋሙ  ውስጥ የተከሰቱትን አዎንታዊም ሆነ አሉታዊ ጉዳዮችን ተቀብሎ በሚዲያው አማካይነት ለሕዝብ ያደርሳል  በማህበረሰቡ ውስጥ ያሉትን አዎንታዊ አሉታዊም  ክስተቶች እየተከታተለ ለህዝብ እንዲቀርብለት የሚፈይደው ሚዲያው ነው 	2	3	3
26	አፋጣኝ መልሱ የሚሹ ጥያቄዎ በፍጥነት ምላሽ ይሰጣል  ቀውስ አጋጣሚዎን ያስተላልፍል አሳማኝ የሆኑ ነገሮችን ለህዝብ ያስተላልፋል 	3	1	2
26	ሚዲያ ለህዝብ ግንኑነት ያለው ጠቀሜታ  መልዕክቶች ባአፋጣኝ መንገድ ወደ ተደራሹ እዲደስሱ ማስቻል  የተለያዩ ጋዜጦች ና መፅሄቶች እዲታተሙ ያደርጋል  ለህዝብ ግንኙነት የሚሰራውን ማንኛውንም  ጽሁፍ በተወሰነ የጊዜ ገደብ ወይም በአጭር ጊዜ እንዲዘጋጅ ያስችላል	3	3	3
26	የህዝብ ግንኙነት መረጃን ከተደራሽነት ወደ ድርጅቱ ወይም ከድርጅቱ ወደ ተደራሹ የሁለትዮሽ ግንኙነት ያለው ሲሆን ሚዲያ  መተላለፊየ መንገድ ነው ስለዚህ ለህዝብ  ለተደራሹ የሚደርሰው መልክት በምዲያ ነው	2	2	2
26	በሚዲያ የህዝቡን ፍላጎት ለማርካት ሚዲያው የደረሰበትን ዳራ ለማወቅ ግንኙነትን ለማጠናከር	2	1	2
26	በመስራ ቤትና  በድርጅቱ  መካከል ግንኙነት ያመጣል በአንድ አካባቢ ጥሩም ይሁን መጥፎ ነገሮችን ቶሎ ለህዝብ ያደርሳል  ይሰማል  የህብረተሰቡን መብት የስከብራል  የግለሰብን መብት ይከርከርል	3	2	3
